"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10456,8,1,1,1,1,4,2,5,1,2,4,4,1,1,1.28571428571429,2.875,2.375,4.5,1.25,3,3.57142857142857,3.625,1.375,10456
10472,59,1,1,1,1,4,1,4,1,2,1,5,2,1,1.04347826086957,3.22033898305085,2.13559322033898,4.42372881355932,1,2.45762711864407,1.47826086956522,4.72881355932203,1.35593220338983,10472
10496,11,1,1,1,1,5,3,5,1,2,1,1,1,1,1.11111111111111,4,2.63636363636364,3.90909090909091,1.18181818181818,2.09090909090909,2.55555555555556,3,2.18181818181818,10496
10453,30,1,1,1,1,3,1,3,1,4,4,5,3,1,2.1304347826087,3.06666666666667,2.6,3.9,1.26666666666667,2.76666666666667,3.39130434782609,3.6,1.93333333333333,10453
10492,32,1,1,1,1,4,2,4,1,2,3,4,2,1,1.22222222222222,2.65625,2.03125,3.375,1.09375,3.5625,3.81481481481481,3.71875,1.9375,10492
10495,8,1,1,1,1,5,2,3,1,2,4,5,3,1,1,3.875,2.5,2.625,1.75,2.625,3.625,4.25,3,10495
10455,15,1,1,1,1,2,1,4,3,4,4.30769230769231,5,2,1,1.07142857142857,2.93333333333333,2.73333333333333,3.8,1.93333333333333,3.53333333333333,4.30769230769231,4.46666666666667,2.2,10455
10465,26,1,1,1,1,3,1,3,1,4,3,4,2,1,1.63636363636364,2.84615384615385,1.80769230769231,4.07692307692308,1,3.15384615384615,3.95454545454545,3.88461538461538,1.23076923076923,10465
10493,47,1,1,1,1,5,1,2,1,2,3,5,4,1,1.5,3.25531914893617,2.72340425531915,3.72340425531915,1.34042553191489,2.95744680851064,3.6304347826087,4.53191489361702,1.87234042553191,10493
10451,25,1,1,1,1,3,1,5,1,5,4,5,2,1,1.4,2.6,1.96,4.68,1.4,4.28,4.4,4.6,1.68,10451
10454,29,1,1,1,1,1,1,4,1,4,5,5,2,1,1.375,2.96551724137931,2.27586206896552,3.72413793103448,1.27586206896552,3.06896551724138,4.5,4.17241379310345,2.41379310344828,10454
10449,47,1,1,1,1,4,1,5,2,2,4,4,4,1,1.20512820512821,2.25531914893617,1.87234042553191,3.21276595744681,1.36170212765957,3.46808510638298,3.94871794871795,4.38297872340426,2,10449
10448,52,1,1,1,1,4,1,2,2,3,2,4,3,1,1.02311111111111,3.08,2.16,2.98,1.32,2.8,3.83511111111111,4.24,2.36,10448
10438,57,1,1,1,1,4,2,5,1,4,4,4,1,1,1.11764705882353,3.01754385964912,2.10526315789474,4.21052631578947,1.71929824561404,3.3859649122807,4.11764705882353,4.31578947368421,1.7719298245614,10438
10439,22,1,1,0,1,4,1,4,1,3,2,4,2,2,1.44444444444444,2.90909090909091,2.27272727272727,3.63636363636364,1.09090909090909,3.45454545454545,3.66666666666667,3.45454545454545,1.45454545454545,10439
10418,44,1,1,1,1,3,2,3,1,1,2,4,2,1,1.09302325581395,3.11363636363636,1.81818181818182,3.11363636363636,1.63636363636364,2.54545454545455,3.76190476190476,3.90909090909091,2.34090909090909,10418
10429,48,1,1,1,1,5,1,3,1,1,5,4,3,1,1.23809523809524,3.60416666666667,1.875,3.6875,1.04166666666667,3.02083333333333,4.40476190476191,4.58333333333333,1.89583333333333,10429
10433,1,1,1,1,1,3,1,5,1,5,5,5,1,1,1,3,1,5,1,5,5,5,1,10433
10394,7,1,1,1,1,5,5,5,1,2,1,4,1,1,1.71428571428571,3,3.42857142857143,3.57142857142857,1.85714285714286,3,2.85714285714286,3.14285714285714,2.42857142857143,10394
10415,52,1,1,1,1,3,1,4,1,3,3,5,1,1,1.28260869565217,2.69230769230769,2.42307692307692,3.28846153846154,1.25,2.84615384615385,3.32608695652174,4.07692307692308,1.53846153846154,10415
10414,41,1,1,1,2,4,2,5,1,3,3,4,1,1,1.45945945945946,3.58536585365854,2.8780487804878,3.53658536585366,2.14634146341463,2.68292682926829,3.64864864864865,3.53658536585366,2.39024390243902,10414
10380,42,1,1,1,1,5,3,4,1,1,3,4,2,1,1.21621621621622,3.64285714285714,2.54761904761905,3.52380952380952,1.5952380952381,2.4047619047619,2.7027027027027,2.95238095238095,2.14285714285714,10380
10330,38,1,1,1,1,5,5,5,1,2,3,5,1,1,1.06224406224406,3.18918918918919,2.18918918918919,4.32432432432432,1.02702702702703,3.37837837837838,3.62653562653563,3.7027027027027,1.59459459459459,10330
10413,38,1,1,1,1,2,2,5,1,4,4,4,1,1,1.17117117117117,3.13513513513514,2.02702702702703,3.86486486486486,1.08108108108108,3.05405405405405,4.48648648648649,4.02702702702703,2.05405405405405,10413
10389,44,1,1,1,1,5,1,4,1,1,4,5,3,1,1.55172413793103,3.5,2.63636363636364,2.86363636363636,1.61363636363636,2.15909090909091,2.48275862068966,3.54545454545455,2.97727272727273,10389
10399,9,1,1,1,1,3,1,4,1,3,3,5,1,1,1.28571428571429,3.22222222222222,2.22222222222222,4,1,2.77777777777778,3.14285714285714,3.33333333333333,1,10399
10391,14,1,1,1,1,5,2,4,4,2,4,4,4,1,1,3.21428571428571,2.07142857142857,3.78571428571429,2.07142857142857,3.07142857142857,4.41666666666667,3.85714285714286,2.71428571428571,10391
10343,7,1,1,1,1,5,1,3,1,2,3,4,4,1,1.33333333333333,4.28571428571429,1.57142857142857,2.71428571428571,1.42857142857143,2.42857142857143,3.5,4,2.57142857142857,10343
10332,16,1,1,1,1,3,4,3,3,3,2,3,4,1,1.93333333333333,2.9375,2.8125,2.8125,2.375,2.875,2.66666666666667,3.1875,3.3125,10332
10338,54,1,1,1,1,4,2,3,1,3,4,5,2,1,1.34782608695652,3.12962962962963,3.05555555555556,3.38888888888889,1.77777777777778,2.74074074074074,2.41304347826087,3.85185185185185,2.38888888888889,10338
10382,6,1,1,1,2,5,3,3,3,2,3,4,2,1,2,4.5,4.16666666666667,3.83333333333333,1.5,1.16666666666667,1.8,2.5,1.33333333333333,10382
10357,3,1,1,1,1,3,3,3,2,3,4,4,3,1,1,2.33333333333333,2.33333333333333,4,1.33333333333333,3.66666666666667,4,4.66666666666667,2.66666666666667,10357
10390,24,1,1,1,1,2,1,4,1,5,3,4,2,1,1.04545454545455,2.58333333333333,1.5,3.625,1,3.33333333333333,2.59090909090909,3.95833333333333,1.66666666666667,10390
10309,4,1,1,1,1,4,2,4,1,3,4,5,1,1,1.5,3.25,2.25,4.5,1,3.25,2.75,4,1.75,10309
10331,21,1,1,1,1.4,3,3,3,1,4,4,5,1,1,1.4,3.04761904761905,2.42857142857143,4.09523809523809,1.04761904761905,3.42857142857143,3.5,3.28571428571429,1.71428571428571,10331
10367,52,1,1,1,1,5,2,2,1,2,4,4,4,1,1.05405405405405,4.40384615384615,2.07692307692308,3.07692307692308,1.55769230769231,1.55769230769231,4.24324324324324,3.86538461538462,2.69230769230769,10367
10381,21,1,1,1,1,5,5,4,1,1,4,5,2,1,1.4375,4,3,3.47619047619048,1.52380952380952,2.28571428571429,4.3125,4.14285714285714,2.33333333333333,10381
10365,54,1,1,1,1,5,1,4,2,3,3,5,3,1,1.20408163265306,3.55555555555556,2.12962962962963,3.85185185185185,1.33333333333333,2.57407407407407,3.59183673469388,4.09259259259259,2.55555555555556,10365
10340,4,1,1,1,1,3,3,2,2,4,4,5,5,1,1.25,2.75,2.25,2.25,1.25,3.25,3.75,4.75,3.5,10340
10328,9,1,1,1,1,5,3,2,3,2,3,5,4,1,1,3.88888888888889,3.44444444444444,2.66666666666667,2.77777777777778,2.22222222222222,3.71428571428571,4.11111111111111,3.55555555555556,10328
10287,35,1,1,1,1,4,1,1,2,2,3,4,4,1,1,3.57142857142857,1.42857142857143,1.85714285714286,3.11428571428571,2.14285714285714,4.04,4.51428571428571,4.57142857142857,10287
10293,44,1,1,1,1,4,1,3,2,3,3,5,4,1,1.20512820512821,3.20454545454545,1.88636363636364,3.5,1.20454545454545,2.79545454545455,3.02564102564103,3.90909090909091,2.29545454545455,10293
10329,8,1,1,0,1,3,2,5,2,2,1,4,1,2,1.66666666666667,3.75,3,3.75,1.75,2.375,2.83333333333333,3.75,2.25,10329
10320,40,1,1,0,1,3,2,4,2,3,3,3,2,2,1.66666666666667,3.25,2.6,2.625,2.525,2.4,2.8,3.275,2.95,10320
10323,11,1,1,1,2,2,1,1,2,4,2,3,4,1,1.22222222222222,3.27272727272727,2.81818181818182,2.90909090909091,1.27272727272727,2.36363636363636,2.66666666666667,3.27272727272727,2.45454545454545,10323
10260,32,1,1,1,1,3,1,4,1,4,5,5,3,1,1.51612903225806,2.9375,2.25,4.78125,1.03125,3.34375,2.54838709677419,4.1875,1.84375,10260
10322,39,1,1,1,1,5,1,5,1,1,3,3,1,1,1.08333333333333,4.46153846153846,2.92307692307692,3.07692307692308,1.1025641025641,1.71794871794872,2.97222222222222,3.02564102564103,2.28205128205128,10322
10267,27,1,1,1,1,5,1,4,1,5,5,5,2,1,1.28,3.2962962962963,1.33333333333333,3.2962962962963,1.03703703703704,2.92592592592593,3.28,4.03703703703704,2.51851851851852,10267
10275,2,1,1,1,3,4,1,4,1,2,3,4,1,1,3,4,1,3,1.5,2,3,3.5,2,10275
10316,51,1,1,1,1,5,1,5,1,2,3,4,1,1,1.45454545454545,3.58823529411765,2.01960784313725,4,1.50980392156863,2.43137254901961,3.09090909090909,3.84313725490196,1.70588235294118,10316
10289,53,1,1,1,2,4,3,3,2,3,4,4,3,1,2.04,3,2.54716981132075,3.07547169811321,1.64150943396226,2.92452830188679,3.22,4.18867924528302,2.84905660377358,10289
10255,11,1,1,1,1,5,3,5,2,2,3,4,1,1,1.1,4.09090909090909,2.90909090909091,3.45454545454545,1.63636363636364,2.09090909090909,3,3.72727272727273,3.18181818181818,10255
10280,40,1,1,0,1,4,1,4,1,2,3,5,1,2,1.09677419354839,3.475,2.025,3.075,2.05,2.35,4,3.975,2.7,10280
10281,8,1,1,1,1,3,1,5,2,3,2,5,1,1,1.2,3.75,2.5,3.875,2.25,2.125,2.2,3,1.875,10281
10301,18,1,1,1,1,4,3,3,1,3,3,3,2,1,1.23076923076923,3.16666666666667,2.44444444444444,4.05555555555556,1.05555555555556,3.22222222222222,4,3.44444444444444,1.55555555555556,10301
10242,37,1,1,1,2,5,3,2,3,2,4,4,4,1,1.67857142857143,3.75675675675676,3.02702702702703,2.83783783783784,1.27027027027027,2.37837837837838,3.5,3.05405405405405,2.24324324324324,10242
10253,8,1,1,1,1,2,1,4,1,4,4,4,3,1,1.75,2.5,2.5,3,1.875,3.625,3.625,3.5,3,10253
10285,1,1,1,1,1,5,5,1,5,1,1,4,5,1,1,5,5,1,5,1,1,4,5,10285
10258,20,1,1,1,1,1,1,4,1,5,5,4,1,1,1,2.65,2.45,4.35,1.1,3.6,4.94117647058824,4.5,1.65,10258
10269,18,1,1,1,2.08333333333333,2,2,4,2,4,3.72727272727273,4,2,1,2.08333333333333,2.35294117647059,1.88235294117647,3.70588235294118,2,3.29411764705882,3.72727272727273,3.88235294117647,2,10269
10259,15,1,1,1,1,5,5,3,2,1,3,5,1,1,1,3.4,2.53333333333333,3.46666666666667,1.8,2.66666666666667,3.61538461538462,4.26666666666667,2.13333333333333,10259
10251,24,1,1,1,1,5,3,4,1,2,3,3,1,1,1.22727272727273,3.16666666666667,2.04166666666667,3.875,1,2.45833333333333,3.5,4.16666666666667,1.20833333333333,10251
10245,56,1,1,1,1,4,2,3,1,3,3,5,2,1,1.7906976744186,3.39285714285714,3.05357142857143,3.19642857142857,1.78571428571429,2.625,3.30232558139535,3.125,2.17857142857143,10245
10226,22,1,1,1,2,4,3,4,2,2,2,3,2,1,2.05263157894737,3.09090909090909,2.45454545454545,3,2.54545454545455,2.86363636363636,3.61111111111111,3.31818181818182,2.86363636363636,10226
10232,34,1,1,1,1,4,1,4,1,2,3,5,2,1,1.14718614718615,2.84848484848485,1.78787878787879,3.57575757575758,1.72727272727273,3.06060606060606,3.63203463203463,3.96969696969697,1.84848484848485,10232
10239,24,1,1,1,1,5,1,3,1,1,4,5,3,1,1.33333333333333,3.04166666666667,1.75,3.08333333333333,1.54166666666667,3.25,3.71428571428571,4.16666666666667,2.875,10239
10238,28,1,1,1,1,4,4,2,4,2,2,3,3,1,1.26086956521739,3.92857142857143,3.14285714285714,2.71428571428571,2.60714285714286,1.78571428571429,2.25,2.39285714285714,3.42857142857143,10238
10230,2,1,1,1,2,3,1,2,1,2,3,5,2,1,2,3,1.5,3,1,2.5,3,4.5,2,10230
10250,9,1,1,1,1,2,4,4,1,3,3,3,3,1,1.125,2.55555555555556,2.66666666666667,3.88888888888889,1.11111111111111,2.88888888888889,3.625,4.22222222222222,2.11111111111111,10250
10237,32,1,1,1,1,3,2,4,1,2,2,5,2,1,1.41666666666667,3.03125,2.53125,3.46875,1.875,2.4375,3.41666666666667,3.90625,2.21875,10237
10228,25,1,1,1,1,5,3,4,2,2,1,4,1,1,1.04347826086957,2.84,2.56,3.56,1.76,3.4,3.08695652173913,3.44,2.08,10228
10222,53,1,1,1,1.17142857142857,5,1,4,1,3,2.94285714285714,5,3,1,1.17142857142857,3.75471698113208,2.58490566037736,3.62264150943396,1.13207547169811,2.35849056603774,2.94285714285714,3.33962264150943,1.60377358490566,10222
10220,9,1,1,1,1,4,1,5,1,5,5,5,1,1,1.4,3.88888888888889,1.44444444444444,4.44444444444444,1.44444444444444,3.22222222222222,4.8,4.22222222222222,2.33333333333333,10220
10221,9,1,1,1,1,2,3,4,1,4,4,4,1,1,1.11111111111111,2,1.44444444444444,3.44444444444444,1,4.44444444444444,3.88888888888889,4.55555555555556,2.11111111111111,10221
